flight_id,airline,source,destination,route,departure_time,arrival_time,duration,duration_minutes,dep_hour,time_of_day_bucket,route_mean_duration,route_std_duration,is_duration_outlier
6F097,IndiGo,BLR,BOM,BLR -> BOM,15:32:42,16:49:42,01:17:00,77.0,15,Afternoon,147.73,73.89,0
6F019,IndiGo,BLR,BOM,BLR -> BOM,00:19:42,04:14:42,03:55:00,235.0,0,Night,147.73,73.89,0
UK187,Vistara,BLR,BOM,BLR -> BOM,16:52:42,18:42:42,01:50:00,110.0,16,Afternoon,147.73,73.89,0
AI208,Air India,BLR,BOM,BLR -> BOM,08:38:42,11:52:42,03:14:00,194.0,8,Morning,147.73,73.89,0
SJ138,SpiceJet,BLR,BOM,BLR -> BOM,05:55:42,06:43:42,00:48:00,48.0,5,Morning,147.73,73.89,0
UK015,Vistara,BLR,BOM,BLR -> BOM,04:46:42,06:33:42,01:47:00,107.0,4,Night,147.73,73.89,0
AI076,Air India,BLR,BOM,BLR -> BOM,15:37:42,16:12:42,00:35:00,35.0,15,Afternoon,147.73,73.89,0
6F165,IndiGo,BLR,BOM,BLR -> BOM,10:11:42,11:09:42,00:58:00,58.0,10,Morning,147.73,73.89,0
6F025,IndiGo,BLR,BOM,BLR -> BOM,23:02:42,23:57:42,00:55:00,55.0,23,Night,147.73,73.89,0
UK109,Vistara,BLR,BOM,BLR -> BOM,16:06:42,17:06:42,01:00:00,60.0,16,Afternoon,147.73,73.89,0
6F051,IndiGo,BLR,BOM,BLR -> BOM,13:58:42,15:58:42,02:00:00,120.0,13,Afternoon,147.73,73.89,0
AI135,Air India,BLR,BOM,BLR -> BOM,06:40:42,09:21:42,02:41:00,161.0,6,Morning,147.73,73.89,0
AI103,Air India,BLR,BOM,BLR -> BOM,03:26:42,04:04:42,00:38:00,38.0,3,Night,147.73,73.89,0
UK143,Vistara,BLR,BOM,BLR -> BOM,01:34:42,02:48:42,01:14:00,74.0,1,Night,147.73,73.89,0
SJ209,SpiceJet,BLR,BOM,BLR -> BOM,22:22:42,02:03:42,03:41:00,221.0,22,Night,147.73,73.89,0
6F167,IndiGo,BLR,BOM,BLR -> BOM,16:26:42,17:50:42,01:24:00,84.0,16,Afternoon,147.73,73.89,0
UK161,Vistara,BLR,BOM,BLR -> BOM,10:05:42,12:48:42,02:43:00,163.0,10,Morning,147.73,73.89,0
AI244,Air India,BLR,BOM,BLR -> BOM,02:50:42,03:25:42,00:35:00,35.0,2,Night,147.73,73.89,0
6F218,IndiGo,BLR,BOM,BLR -> BOM,15:16:42,19:03:42,03:47:00,227.0,15,Afternoon,147.73,73.89,0
AI233,Air India,BLR,BOM,BLR -> BOM,08:04:42,09:52:42,01:48:00,108.0,8,Morning,147.73,73.89,0
6F120,IndiGo,BLR,BOM,BLR -> BOM,05:14:42,06:14:42,01:00:00,60.0,5,Morning,147.73,73.89,0
6F213,IndiGo,BLR,BOM,BLR -> BOM,21:05:42,00:32:42,03:27:00,207.0,21,Night,147.73,73.89,0
UK115,Vistara,BLR,BOM,BLR -> BOM,11:20:42,13:20:42,02:00:00,120.0,11,Morning,147.73,73.89,0
6F109,IndiGo,BLR,BOM,BLR -> BOM,12:00:42,12:51:42,00:51:00,51.0,12,Afternoon,147.73,73.89,0
UK117,Vistara,BLR,BOM,BLR -> BOM,13:17:42,16:54:42,03:37:00,217.0,13,Afternoon,147.73,73.89,0
SJ113,SpiceJet,BLR,BOM,BLR -> BOM,08:10:42,10:10:42,02:00:00,120.0,8,Morning,147.73,73.89,0
UK230,Vistara,BLR,BOM,BLR -> BOM,20:02:42,21:35:42,01:33:00,93.0,20,Evening,147.73,73.89,0
AI210,Air India,BLR,BOM,BLR -> BOM,16:13:42,18:50:42,02:37:00,157.0,16,Afternoon,147.73,73.89,0
SJ068,SpiceJet,BLR,BOM,BLR -> BOM,16:44:42,18:48:42,02:04:00,124.0,16,Afternoon,147.73,73.89,0
AI205,Air India,BLR,BOM,BLR -> BOM,03:26:42,05:14:42,01:48:00,108.0,3,Night,147.73,73.89,0
UK037,Vistara,BLR,BOM,BLR -> BOM,01:10:42,05:12:42,04:02:00,242.0,1,Night,147.73,73.89,0
AI109,Air India,BLR,BOM,BLR -> BOM,15:53:42,20:14:42,04:21:00,261.0,15,Afternoon,147.73,73.89,1
6F124,IndiGo,BLR,BOM,BLR -> BOM,10:47:42,15:21:42,04:34:00,274.0,10,Morning,147.73,73.89,1
6F164,IndiGo,BLR,BOM,BLR -> BOM,22:18:42,00:45:42,02:27:00,147.0,22,Night,147.73,73.89,0
AI132,Air India,BLR,BOM,BLR -> BOM,19:32:42,21:41:42,02:09:00,129.0,19,Evening,147.73,73.89,0
UK220,Vistara,BLR,BOM,BLR -> BOM,09:51:42,13:25:42,03:34:00,214.0,9,Morning,147.73,73.89,0
SJ144,SpiceJet,BLR,BOM,BLR -> BOM,15:35:42,19:12:42,03:37:00,217.0,15,Afternoon,147.73,73.89,0
